trip_id,stop_id,stop_sequence,arrival_time,departure_time,ETA,Midpoint
751381,PICBETS,1,3:40:00,4:50:00,1:10:00,0:35:00
751381,2425BET,2,3:40:42,4:50:53,1:10:11,0:35:05
751381,BETWOOE,3,3:41:24,4:51:35,1:10:11,0:35:06
751381,BETHEDE,4,3:41:16,4:52:17,1:11:01,0:35:31
751381,BETDIEE,5,3:42:00,4:53:00,1:11:00,0:35:30
751381,BETOLGE,6,3:42:26,4:53:37,1:11:11,0:35:35
751381,BETREEE,7,3:43:18,4:54:18,1:11:00,0:35:30
751381,BETPORE,8,3:43:48,4:54:58,1:11:10,0:35:35
751381,GODBETS,9,3:44:43,4:55:54,1:11:11,0:35:35
751381,GODLANSE,10,3:45:24,4:56:35,1:11:11,0:35:35
751381,GODCHEE,11,3:46:00,4:57:00,1:11:00,0:35:30
751381,KENWEYS,12,3:48:02,4:58:03,1:10:01,0:35:01
751381,KENMERS,13,3:48:30,4:58:40,1:10:10,0:35:05
751381,KENFOLS,14,3:49:21,4:59:31,1:10:10,0:35:05
751381,KENWINS,15,4:00:16,5:00:27,1:00:11,0:30:06
751381,KENPARS,16,4:01:13,5:01:14,1:00:01,0:30:01
751381,KENMCCS,17,4:01:00,5:02:00,1:01:00,0:30:30
751381,KENMILS,18,4:01:29,5:02:39,1:01:10,0:30:35
751381,KENRUES,19,4:02:33,5:03:44,1:01:11,0:30:35
751381,NORCLEE,20,4:03:18,5:04:28,1:01:10,0:30:35
751381,NORSHAE,21,4:03:42,5:04:53,1:01:11,0:30:36
751381,NORENTE,22,4:05:00,5:06:00,1:01:00,0:30:30
751381,OLEUNIS,23,4:08:04,5:08:05,1:00:01,0:30:00
751381,OLERIVS1,24,4:09:00,5:09:00,1:00:00,0:30:00
751381,OLEHARS2,25,4:09:36,5:09:47,1:00:11,0:30:05
751381,OLE2825S,26,4:10:06,5:10:07,1:00:01,0:30:01
751381,OLEACKS,27,4:10:36,5:10:47,1:00:11,0:30:05
751381,OLEARGS,28,4:11:22,5:11:33,1:00:11,0:30:05
751381,LANOLEE,29,4:11:26,5:12:37,1:01:11,0:30:36
751381,LANTUTE,30,4:12:19,5:13:29,1:01:10,0:30:35
751381,LANNEIE,31,4:13:00,5:14:00,1:01:00,0:30:30
751381,HIGLANS,32,4:14:13,5:15:24,1:01:11,0:30:36
751381,HIG18TS,33,4:15:13,5:16:24,1:01:11,0:30:36
751381,HIG15TS,34,4:16:12,5:17:23,1:01:11,0:30:36
751381,HIG13TS,35,4:18:09,5:18:09,1:00:00,0:30:00
751381,HIGCHIS,36,4:19:00,5:19:00,1:00:00,0:30:00
751381,HIG10TS,37,4:19:31,5:19:41,1:00:10,0:30:05
751381,NHIGMCMS,38,4:10:26,5:20:37,1:10:11,0:35:06
751381,HIGCLAS,39,4:11:14,5:21:15,1:10:01,0:35:01
751381,HIG5THS,40,4:11:00,5:22:00,1:11:00,0:35:30
751381,HIG4THS,41,4:11:18,5:22:28,1:11:10,0:35:35
751381,NHIW2S,42,4:12:16,5:23:17,1:11:01,0:35:31
751381,HIGHUBS,43,4:13:10,5:24:10,1:11:00,0:35:30
751381,HIGRUSS,44,4:14:01,5:25:02,1:11:01,0:35:31
751381,HIGSWANS,45,4:14:26,5:25:37,1:11:11,0:35:35
751381,HIGOHIS,46,4:15:13,5:26:24,1:11:11,0:35:36
751381,HIGNATS,47,4:16:00,5:27:00,1:11:00,0:35:30
751381,HIGLONS,48,4:18:00,5:28:00,1:10:00,0:35:00
751381,HIGBROS,49,4:20:00,5:30:00,1:10:00,0:35:00
751381,HIGSTAS,50,4:21:16,5:31:27,1:10:11,0:35:05
751381,HIGTOWS,51,4:21:31,5:32:42,1:11:11,0:35:35
751381,HIGMAIS2,52,4:23:09,5:34:09,1:11:00,0:35:30
751381,HIGMOUS,53,4:24:00,5:35:00,1:11:00,0:35:30
751381,LIV3RDE,54,4:25:01,5:36:01,1:11:00,0:35:30
751381,LIV4THE,55,4:25:35,5:36:46,1:11:11,0:35:35
751381,LIV6THE,56,4:26:15,5:37:16,1:11:01,0:35:31
751381,LIVGRANE,57,4:26:31,5:37:41,1:11:10,0:35:35
751381,LIVPARE,58,4:29:00,5:39:00,1:10:00,0:35:00
751381,LIVANNE,59,4:29:11,5:39:22,1:10:11,0:35:05
751381,LIV18TE,60,4:29:34,5:39:45,1:10:11,0:35:05
751381,LIVCARE,61,4:30:09,5:40:09,1:10:00,0:35:00
751381,LIV22NE,62,4:30:26,5:40:37,1:10:11,0:35:05
751381,LIVCHAE,63,4:31:00,5:41:00,1:10:00,0:35:00
751381,LIVWILE,64,4:31:20,5:41:30,1:10:10,0:35:05
751381,LIVSTUE,65,4:31:04,5:42:05,1:11:01,0:35:31
751381,LIVKELE,66,4:32:00,5:43:00,1:11:00,0:35:30
751381,LIVBERE,67,4:32:14,5:43:25,1:11:11,0:35:35
751381,LIVBULE,68,4:33:18,5:44:18,1:11:00,0:35:30
751381,LIVRHOE,69,4:33:29,5:44:39,1:11:10,0:35:35
751381,LIVMEME,70,4:34:08,5:45:08,1:11:00,0:35:30
751381,LIVMAYE,71,4:35:06,5:46:07,1:11:01,0:35:31
751381,LIVCOLE,72,4:36:00,5:47:00,1:11:00,0:35:30
751381,LIVCASE,73,4:36:19,5:47:29,1:11:10,0:35:35
751381,LIVROOE,74,4:38:04,5:48:05,1:10:01,0:35:01
751381,LIVCHEE,75,4:38:19,5:48:29,1:10:10,0:35:05
751381,LIVBROE1,76,4:38:43,5:48:54,1:10:11,0:35:05
751381,LIVWELE,77,4:39:16,5:49:17,1:10:01,0:35:00
751381,LIVKELE1,78,4:39:25,5:49:36,1:10:11,0:35:05
751381,LIVJAME,79,4:40:00,5:50:00,1:10:00,0:35:00
751381,LIVZETE,80,4:40:34,5:50:45,1:10:11,0:35:05
751381,LIVBARE,81,4:41:12,5:51:23,1:10:11,0:35:05
751381,LIVCUNE,82,4:41:01,5:52:02,1:11:01,0:35:30
751381,LIVCOUE,83,4:41:42,5:52:53,1:11:11,0:35:35
751381,LIVBEEE,84,4:42:12,5:53:13,1:11:01,0:35:31
751381,LIVVILE,85,4:42:25,5:53:36,1:11:11,0:35:36
751381,LIVYEAE,86,4:43:11,5:54:11,1:11:00,0:35:30
751381,LIVBURE,87,4:43:42,5:54:53,1:11:11,0:35:35
751381,LIVGRAE,88,4:44:15,5:55:26,1:11:11,0:35:35
751381,LIVHAME,89,4:45:00,5:56:00,1:11:00,0:35:30
751381,LIVSHAE,90,4:45:35,5:56:46,1:11:11,0:35:36
751381,LIVLATE,91,4:46:16,5:57:27,1:11:11,0:35:35
