trip_id,stop_id,stop_sequence,arrival_time,departure_time,ETA
751381,PICBETS,1,03:40:00,04:50:00,11:00:00
751381,2425BET,2,03:40:42,04:50:53,11:01:01
751381,BETWOOE,3,03:41:24,04:51:35,11:01:01
751381,BETHEDE,4,03:41:16,04:52:17,11:10:01
751381,BETDIEE,5,03:42:00,04:53:00,11:10:00
751381,BETOLGE,6,03:42:26,04:53:37,11:11:01
751381,BETREEE,7,03:43:18,04:54:18,11:10:00
751381,BETPORE,8,03:43:48,04:54:58,11:11:00
751381,GODBETS,9,03:44:43,04:55:54,11:11:01
751381,GODLANSE,10,03:45:24,04:56:35,11:11:01
751381,GODCHEE,11,03:46:00,04:57:00,11:10:00
751381,KENWEYS,12,03:48:02,04:58:03,11:00:01
751381,KENMERS,13,03:48:30,04:58:40,11:01:00
751381,KENFOLS,14,03:49:21,04:59:31,11:01:00
751381,KENWINS,15,04:00:16,05:00:27,10:01:01
751381,KENPARS,16,04:01:13,05:01:14,10:00:01
751381,KENMCCS,17,04:01:00,05:02:00,10:10:00
751381,KENMILS,18,04:01:29,05:02:39,10:11:00
751381,KENRUES,19,04:02:33,05:03:44,10:11:01
751381,NORCLEE,20,04:03:18,05:04:28,10:11:00
751381,NORSHAE,21,04:03:42,05:04:53,10:11:01
751381,NORENTE,22,04:05:00,05:06:00,10:10:00
751381,OLEUNIS,23,04:08:04,05:08:05,10:00:01
751381,OLERIVS1,24,04:09:00,05:09:00,10:00:00
751381,OLEHARS2,25,04:09:36,05:09:47,10:01:01
751381,OLE2825S,26,04:10:06,05:10:07,10:00:01
751381,OLEACKS,27,04:10:36,05:10:47,10:01:01
751381,OLEARGS,28,04:11:22,05:11:33,10:01:01
751381,LANOLEE,29,04:11:26,05:12:37,10:11:01
751381,LANTUTE,30,04:12:19,05:13:29,10:11:00
751381,LANNEIE,31,04:13:00,05:14:00,10:10:00
751381,HIGLANS,32,04:14:13,05:15:24,10:11:01
751381,HIG18TS,33,04:15:13,05:16:24,10:11:01
751381,HIG15TS,34,04:16:12,05:17:23,10:11:01
751381,HIG13TS,35,04:18:09,05:18:09,10:00:00
751381,HIGCHIS,36,04:19:00,05:19:00,10:00:00
751381,HIG10TS,37,04:19:31,05:19:41,10:01:00
751381,NHIGMCMS,38,04:10:26,05:20:37,11:01:01
751381,HIGCLAS,39,04:11:14,05:21:15,11:00:01
751381,HIG5THS,40,04:11:00,05:22:00,11:10:00
751381,HIG4THS,41,04:11:18,05:22:28,11:11:00
751381,NHIW2S,42,04:12:16,05:23:17,11:10:01
751381,HIGHUBS,43,04:13:10,05:24:10,11:10:00
751381,HIGRUSS,44,04:14:01,05:25:02,11:10:01
751381,HIGSWANS,45,04:14:26,05:25:37,11:11:01
751381,HIGOHIS,46,04:15:13,05:26:24,11:11:01
751381,HIGNATS,47,04:16:00,05:27:00,11:10:00
751381,HIGLONS,48,04:18:00,05:28:00,11:00:00
751381,HIGBROS,49,04:20:00,05:30:00,11:00:00
751381,HIGSTAS,50,04:21:16,05:31:27,11:01:01
751381,HIGTOWS,51,04:21:31,05:32:42,11:11:01
751381,HIGMAIS2,52,04:23:09,05:34:09,11:10:00
751381,HIGMOUS,53,04:24:00,05:35:00,11:10:00
751381,LIV3RDE,54,04:25:01,05:36:01,11:10:00
751381,LIV4THE,55,04:25:35,05:36:46,11:11:01
751381,LIV6THE,56,04:26:15,05:37:16,11:10:01
751381,LIVGRANE,57,04:26:31,05:37:41,11:11:00
751381,LIVPARE,58,04:29:00,05:39:00,11:00:00
751381,LIVANNE,59,04:29:11,05:39:22,11:01:01
751381,LIV18TE,60,04:29:34,05:39:45,11:01:01
751381,LIVCARE,61,04:30:09,05:40:09,11:00:00
751381,LIV22NE,62,04:30:26,05:40:37,11:01:01
751381,LIVCHAE,63,04:31:00,05:41:00,11:00:00
