route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
001,COTA,1,KENNY/LIVINGSTON,,3,,AF272F,FFFFFF
002,COTA,2,E MAIN/N HIGH,,3,,AF272F,FFFFFF
003,COTA,3,NORTHWEST/HARRISBURG,,3,,00205B,FFFFFF
004,COTA,4,INDIANOLA/LOCKBOURNE,,3,,00205B,FFFFFF
005,COTA,5,W 5TH AVE/REFUGEE,,3,,AF272F,FFFFFF
006,COTA,6,CLEVELAND/SULLIVANT,,3,,00205B,FFFFFF
007,COTA,7,MT VERNON,,3,,AF272F,FFFFFF
008,COTA,8,KARL/S HIGH/PARSONS,,3,,AF272F,FFFFFF
009,COTA,9,W MOUND/BRENTNELL,,3,,00205B,FFFFFF
010,COTA,10,E BROAD/W BROAD,,3,,AF272F,FFFFFF
011,COTA,11,BRYDEN/MAIZE,,3,,00205B,FFFFFF
012,COTA,12,MCKINLEY/FIELDS,,3,,00205B,FFFFFF
021,COTA,21,HILLIARD ROME,,3,,00205B,FFFFFF
022,COTA,22,OSU-RICKENBACKER,,3,,00205B,FFFFFF
023,COTA,23,JAMES-STELZER,,3,,AF272F,FFFFFF
024,COTA,24,HAMILTON RD,,3,,00205B,FFFFFF
025,COTA,25,BRICE,,3,,00205B,FFFFFF
031,COTA,31,HUDSON,,3,,00205B,FFFFFF
032,COTA,32,N BROADWAY,,3,,00205B,FFFFFF
033,COTA,33,HENDERSON,,3,,00205B,FFFFFF
034,COTA,34,MORSE,,3,,AF272F,FFFFFF
101,COTA,CMAX,CMAX,,3,,AF272F,FFFFFF
102,COTA,102,POLARIS PKWY/N HIGH,,3,,00205B,FFFFFF
