stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
HANMAIN,36,HANSON ST & E MAIN ST,,39.956666,-82.77903,,,,,,0
MOUWAYW,54,W MOUND ST & S WAYNE AVE,,39.938547,-83.062991,,,,,,0
MOREASS,281,MORSE CROSSING & EASTON WAY,,40.048117,-82.920331,,,,,,0
NORTER2,429,SPRING ST TERMINAL BAY 2,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965888,-83.002424,,,,,,0
NORTER3,440,SPRING ST TERMINAL BAY 3,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965808,-83.002412,,,,,,0
NORTER4,455,SPRING ST TERMINAL BAY 4,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965718,-83.002388,,,,,,0
SOUTER3,467,COTA TRANSIT TERMINAL BAY 3,COTA SOUTH TERMINAL SOUTHBOUND PATH & E RICH ST,39.957014,-82.998932,,,,,,0
NORTER1,525,SPRING ST TERMINAL BAY 1,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965968,-83.002436,,,,,,0
NORTER5,568,SPRING ST TERMINAL BAY 5,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965638,-83.002376,,,,,,0
HIGHOSS,1059,S HIGH ST & HOSACK ST,,39.92302,-82.995545,,,,,,0
LIVBULW,1086,E LIVINGSTON AVE & BULEN AVE,,39.948836,-82.951647,,,,,,0
CLEMOUN,1089,CLEVELAND AVE & MOUNT VERNON AVE,,39.969554,-82.99037,,,,,,0
CLEJACN,1091,CLEVELAND AVE & JACK GIBBS BLVD,,39.972493,-82.990132,,,,,,0
CLE2NDN,1094,CLEVELAND AVE & E 2ND AVE,,39.982199,-82.989389,,,,,,0
CLESHON,1098,CLEVELAND AVE & SHOEMAKER AVE,,39.988178,-82.987305,,,,,,0
CLECAMN,1099,CLEVELAND AVE & CAMDEN AVE,,39.990831,-82.984583,,,,,,0
CLE11TN,1100,CLEVELAND AVE & E 11TH AVE,,39.993413,-82.981879,,,,,,0
CLECHIN,1101,CLEVELAND AVE & CHITTENDEN AVE,,39.995615,-82.979577,,,,,,0
CLEWINN,1102,CLEVELAND AVE & WINDSOR AVE,,39.997133,-82.977974,,,,,,0
CLE15TN,1103,CLEVELAND AVE & E 15TH AVE,,39.998468,-82.976803,,,,,,0
CLE17TN,1104,CLEVELAND AVE & E 17TH AVE,,40.000675,-82.975318,,,,,,0
RIDREDW,1105,RIDGECLIFF RD & REDDING RD,,40.023016,-83.070025,,,,,,0
CLE19TN,1106,CLEVELAND AVE & E 19TH AVE,,40.002498,-82.974205,,,,,,0
CLEDUXN,1110,CLEVELAND AVE & DUXBERRY AVE,,40.008692,-82.970345,,,,,,0
CLECORN,1111,CLEVELAND AVE & CORDELL AVE,,40.011141,-82.968854,,,,,,0
CLEHUDN,1113,CLEVELAND AVE & E HUDSON ST,,40.014283,-82.966885,,,,,,0
CLEREPN,1114,CLEVELAND AVE & REPUBLIC AVE,,40.015552,-82.966119,,,,,,0
CLEGENN,1116,CLEVELAND AVE & GENESSEE AVE,,40.019403,-82.964917,,,,,,0
CLEWEBN,1118,CLEVELAND AVE & E WEBER RD,,40.022961,-82.964612,,,,,,0
CLELAKN,1119,CLEVELAND AVE & E LAKEVIEW AVE,,40.025778,-82.964395,,,,,,0
CLENORBN,1122,CLEVELAND AVE & E NORTH BROADWAY,,40.029775,-82.964074,,,,,,0
CLEOAKN,1123,CLEVELAND AVE & OAKLAND PARK AVE,,40.031028,-82.963947,,,,,,0
CLEHUYN,1124,CLEVELAND AVE & HUY RD,,40.035966,-82.962985,,,,,,0
INNDERE,1125,INNIS RD & DERBYSHIRE DR,,40.037124,-82.958278,,,,,,0
INNUSPW,1127,INNIS RD & US POSTAL SERVICE,2200 INNIS RD,40.037179,-82.955294,,,,,,0
CLEHUYS,1132,CLEVELAND AVE & HUY RD,CLEVELAND AVE & CLEVELAND INNIS PLZ,40.035916,-82.963297,,,,,,0
CLEOAKS,1134,CLEVELAND AVE & OAKLAND PARK AVE,,40.03154,-82.964134,,,,,,0
CLENORS,1135,CLEVELAND AVE & E NORTH BROADWAY,,40.029236,-82.964277,,,,,,0
CLEWELS,1136,CLEVELAND AVE & WELDON AVE,,40.027433,-82.964417,,,,,,0
CLELAKS,1137,CLEVELAND AVE & E LAKEVIEW AVE,,40.025441,-82.964577,,,,,,0
CLEWEBS,1139,CLEVELAND AVE & E WEBER RD,,40.02293,-82.964823,,,,,,0
CLEABES,1140,CLEVELAND AVE & ABERDEEN AVE,,40.02034,-82.965028,,,,,,0
CLEGENS,1141,CLEVELAND AVE & GENESSEE AVE,,40.019214,-82.965118,,,,,,0
CLEHUDS,1143,CLEVELAND AVE & E HUDSON ST,,40.013425,-82.967624,,,,,,0
CLECORS,1144,CLEVELAND AVE & CORDELL AVE,,40.010981,-82.969128,,,,,,0
CLEMAYS,1145,CLEVELAND AVE & E MAYNARD AVE,,40.009574,-82.969991,,,,,,0
CLE26TS,1146,CLEVELAND AVE & E 26TH AVE,,40.007815,-82.971065,,,,,,0
CLE24TS,1147,CLEVELAND AVE & E 24TH AVE,,40.006441,-82.971912,,,,,,0
CLE22NS,1148,CLEVELAND AVE & E 22ND AVE,,40.004542,-82.97307,,,,,,0
CLE18TS,1150,CLEVELAND AVE & E 18TH AVE,,40.001395,-82.975098,,,,,,0
CLE17TS,1151,CLEVELAND AVE & E 17TH AVE,,39.99993,-82.976077,,,,,,0
CLE15TS,1152,CLEVELAND AVE & E 15TH AVE,,39.998827,-82.976748,,,,,,0
CLECHIS,1154,CLEVELAND AVE & CHITTENDEN AVE,,39.995158,-82.980264,,,,,,0
CLE11TS,1155,CLEVELAND AVE & E 11TH AVE,,39.993929,-82.981548,,,,,,0
CLECAMS,1157,CLEVELAND AVE & CAMDEN AVE,,39.990797,-82.984812,,,,,,0
CLEESSS,1158,CLEVELAND AVE & ESSEX AVE,,39.98779,-82.987898,,,,,,0
CLE2NDS,1162,CLEVELAND AVE & 2ND AVE,CLEVELAND AVE & REYNOLDS AVE,39.981173,-82.989635,,,,,,0
CLE427S,1163,427 CLEVELAND AVE,,39.972679,-82.990338,,,,,,0
CLEMOUS,1166,CLEVELAND AVE & MOUNT VERNON AVE,,39.969412,-82.990554,,,,,,0
BRODOUE,1167,E BROAD ST & S DOUGLAS ST,,39.964733,-82.977962,,,,,,0
BROMAPE,1168,E BROAD ST & MAPLEWOOD AVE,,39.973168,-82.901904,,,,,,0
BROCOLE,1169,E BROAD ST & COLLINGWOOD AVE,,39.973432,-82.899294,,,,,,0
BROHOLE,1170,E BROAD ST & HOLIDAY LANES,,39.975546,-82.879085,,,,,,0
BROCARE,1171,E BROAD ST & CARDINAL PARK DR,,39.977563,-82.860342,,,,,,0
BROCARW,1172,E BROAD ST & CARDINAL PARK DR,RAMP & E BROAD ST,39.977818,-82.859826,,,,,,0
HAMETNN,1174,S HAMILTON RD & ETNA RD,,39.964279,-82.875928,,,,,,0
HIGRUSN,1178,N HIGH ST & E RUSSELL ST,,39.975825,-83.003188,,,,,,0
HIG2NDN,1182,N HIGH ST & E 2ND AVE,,39.983318,-83.004658,,,,,,0
HIG5THN,1184,N HIGH ST & E 5TH AVE,,39.987609,-83.005524,,,,,,0
HIG6THN,1185,N HIGH ST & E 6TH AVE,,39.989174,-83.005819,,,,,,0
HIGEUCN,1186,N HIGH ST & EUCLID AVE,,39.991224,-83.006225,,,,,,0
HIGCHIN,1188,N HIGH ST & CHITTENDEN AVE,,39.99602,-83.007178,,,,,,0
HIG13TN,1189,N HIGH ST & E 13TH AVE,,39.997729,-83.007506,,,,,,0
HIG15TN,1190,N HIGH ST & E 15TH AVE,,40.000285,-83.007989,,,,,,0
HIGWOON,1192,N HIGH ST & W WOODRUFF AVE,,40.003566,-83.008642,,,,,,0
HIGLANN,1193,N HIGH ST & E LANE AVE,,40.006365,-83.00921,,,,,,0
HIGNORN,1194,N HIGH ST & E NORTHWOOD AVE,,40.007789,-83.00949,,,,,,0
HIGPATN,1195,N HIGH ST & PATTERSON AVE,,40.009907,-83.010044,,,,,,0
HIGBLAN,1196,N HIGH ST & E BLAKE AVE,,40.011654,-83.0105,,,,,,0
HIGHUDN,1197,N HIGH ST & E HUDSON ST,,40.01426,-83.011194,,,,,,0
HIGDODN,1198,N HIGH ST & E DODRIDGE ST,,40.016549,-83.011808,,,,,,0
HIGOLEN,1200,N HIGH ST & OLENTANGY ST,,40.019489,-83.012549,,,,,,0
HIGKELN,1201,N HIGH ST & E KELSO RD,,40.021572,-83.0131,,,,,,0
HIGWEBN,1202,N HIGH ST & E WEBER RD,,40.024318,-83.013843,,,,,,0
HIGPACN,1203,N HIGH ST & E PACEMONT RD,,40.026515,-83.014402,,,,,,0
