Column1,Column2,Column3,Column4
from_stop_id,to_stop_id,transfer_type,min_transfer_time
NORWILSN,NORWILSS,,
EASTER8,STE418N,,
FROGAYN,LONHIGE,,
CLEAGLN,CLELAKN,,
CLEHUYN,CLEHUYS,,
4THATHN,BRO4THW,,
LONHIGE,NORTER4,,
HIGMORS,HIGMORN,,
SOUTER2A,HIGTOWS,,
DIEBETS,BETDIEE,,
HIGLONS,NORTER1,,
5THGRANW,GRA5THN,,
HIGNORTS,HIGNORN3,,
CHALONN,LONOHIW,,
LIVPARE,LIVPARW,,
HIGSTAS,3RDTOWS,,
FROLONN,NORTER3,,
BROKELE,JAMBROS,,
CLE18TS,CLE19TN,,
BRO4THE,BRO3RDW,,
STELSAMS,EASTER7,,
OAKOSCE,OAKMAIW,,
KAROAKN,OAKHAME,,
BROROBW,BROROBE,,
HIGOHIS,NATFROE,,
BROLOWW,JAMBROS,,
STEMORN1,STE418N,,
MORINDW,MORINDE,,
HAMMEIN,MEIHAM2S,,
NORTER4,NORTER3,,
NORTER4,SPRFROW,,
CLEFERN,CLELEHN,,
MAIWAGW,MAIGRAHE,,
LIVMEME,LIVRHOE,,
MORTAME,MORTAMW,,
NORSULN,SULNORW,,
CLE26TS,CLEDUXN,,
BRO4THE,4THCAPN,,
MEIHAM2S,HAMMEIN,,
NEI1STN,NEIWILS,,
SPRFROW,NORTER1,,
NORCLEE,KENLONS,,
FROSPRN,FROLONN,,
TRAWILW,TRAWILE,,
CHALIVN,LIVCHAW,,
WHIPEAE,HIGWHIN,,
DAVSULN,SULSOUE,,
MAIMORS,MORMAIW,,
CLEESSS,5THCLEE,,
HIGBROAS,HIGMEAN,,
NATHIGW2,HIGOHIS,,
CLELAKS,CLELAKN,,
HIG521S,WESHIGW,,
NORKINSE,NORINDNW,,
OAKMAIE,OAKOSCE,,
NOSTARS,NORNORNW,,
11T4THW,SUMCHIS,,
5THNEIW,5THHIGE,,
BROWASAW,BROWASAE,,
FULHIGW,MOUHIGW3,,
WALSPRS,NORTER1,,
JAMMAIN,MAIJAME,,
NORTER3,NORTER1,,
BROGEOE,GEOBROS,,
KENMCCS,KENHIGN,,
3RDGAYS,4THATHN,,
GRA5THN,5THGRANE,,
5THNEIE,NEI5THN,,
NORTER2,NORTER3,,
FROTOWN,HIGSTANN,,
HIGLONS,SPRHIGW,,
5THNORE,5THNORW,,
SPRHIGW,LONHIGE,,
OHIBROS,BROOHIW,,
BROMCNW,BROMCNE,,
NORTER4,HIGLONS,,
BETGODW,GODBETS,,
HIGWEIN,HIGSHES,,
BRO344W,BROWILRE,,
HIGBLENS,HIGHOSN,,
HIGLONN2,LONHIGE,,
BRONORE,NORGRES1,,
MAIOHIW,CHAMAIN,,
NEIWILS,NEIHUBN,,
