route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,6,751381,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359387,48163,0,0
1,6,751382,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359388,48163,0,0
1,6,751383,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359390,48163,0,0
1,6,751384,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359392,48163,0,0
1,6,751385,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359394,48163,0,0
1,6,751386,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359396,48163,0,0
1,6,751387,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359398,48163,0,0
1,6,751388,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359400,48163,0,0
1,6,751389,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359402,48163,0,0
1,6,751390,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359404,48163,0,0
1,6,751391,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359405,48163,0,0
1,6,751392,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359389,48163,0,0
1,6,751393,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359391,48163,0,0
1,6,751394,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359393,48163,0,0
1,6,751395,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359395,48163,0,0
1,6,751396,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359397,48163,0,0
1,6,751397,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359399,48163,0,0
1,6,751398,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359401,48163,0,0
1,6,751399,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359403,48163,0,0
1,6,751400,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359406,48163,0,0
1,6,751401,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359387,48163,0,0
1,6,751402,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359388,48163,0,0
1,6,751403,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359390,48163,0,0
1,6,751404,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359392,48163,0,0
1,6,751405,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,359394,48163,0,0
